OTUID,001W1,003W1,006W1,010W1,011W1,012W1,013W1,014W1,015W1,016W1,017W1,018W1,019W1,101W1,102W1,103W1,104W1,105W1,106W1,107W1,108W1,109W1,110W1
461e88572c8531337fca53eec668f6af,0,2370,454,531,0,816,1148,598,148,1067,2471,170,592,220,0,0,1172,2201,1029,3944,557,0,929
4097a388df74933fcfcfccf035b999dc,0,1921,332,772,0,870,781,940,234,830,1555,62,797,0,130,227,558,1012,487,2534,237,0,508
b41203c39cb61b9cad701eae576c7a1f,182,1901,264,483,0,1093,835,703,461,538,1089,100,1069,0,0,0,476,837,439,2124,118,0,337
b5b0a1eaf94f7c48cca227b748b1036d,0,236,1261,75,235,0,273,0,0,987,432,294,0,1228,236,210,257,1167,724,352,334,0,299
9992356b67d588dcfae3705dff08cab0,0,1413,255,328,0,460,874,332,61,545,649,135,398,0,0,0,464,953,424,1648,200,0,259
63dc415afa46898d8f95e86cacdc2959,0,1385,189,297,75,652,877,377,104,298,265,172,527,0,0,0,227,448,284,969,89,261,132
0785e6aa088438bcb540dff46140d8dc,0,1277,204,409,0,603,813,481,53,471,412,0,450,0,0,0,268,574,265,1136,126,0,177
7959d6c6e725d05ab35dc33940d086e6,0,1010,205,306,0,755,543,721,173,1118,722,0,727,0,0,211,388,898,398,1119,0,0,395
4785ca0d6be9ce6b756299fdb9cbd446,0,715,200,217,0,493,416,605,94,985,686,0,492,0,0,0,524,1310,490,1168,0,0,570
094f65a2e1dc6dc372adb7d92578960a,330,0,991,127,299,0,0,210,0,776,290,0,0,748,258,345,0,571,397,278,248,0,198
3bbe760934382858060797fe375bfae9,0,771,183,281,0,558,436,578,180,845,442,0,695,0,0,0,284,799,318,1069,0,0,295
d1bf5cbb64f8143d138fceda9490ca0b,0,916,134,179,0,697,523,408,187,484,324,0,539,0,0,0,130,409,211,816,102,0,143
5fefd58eff69972a90d5e8028ba79fa1,95,0,732,211,159,329,0,0,0,502,327,0,208,486,185,210,0,472,377,161,229,145,203
298ecc6af776bb7edff402ad29dcba9f,0,633,140,189,0,593,479,456,198,582,257,47,684,0,0,52,205,553,269,684,0,0,200
061f96f0edf66dc86ed5fdc108beb5bd,0,0,600,104,216,0,0,193,0,1051,168,0,0,322,118,192,0,536,338,0,0,0,129
1a51394e215894d87a1cd321fc8556a1,0,0,690,51,117,174,0,0,0,507,141,0,0,392,192,166,0,561,359,0,167,0,94
0c0223d88228e470fd1520acdb55adad,106,0,563,0,127,0,0,0,0,991,129,0,0,477,109,154,0,741,470,0,0,0,251
122abc1a0801399ae12837ae3f7ad8e4,0,0,487,48,191,0,0,0,0,835,118,0,160,342,112,191,0,471,290,0,0,0,218
9bd57ec9560f1d1e419889a2c6ed0597,0,0,548,0,0,0,0,0,52,696,136,0,0,194,121,205,0,331,167,0,0,0,0
9ed12ad9eb23953f49fa4112d8487ba1,0,0,537,76,0,41,0,0,0,433,61,0,0,270,160,129,0,344,200,0,0,0,83
2990a0b19ee737c3819b09eab3854f41,125,0,527,0,129,0,142,0,0,297,0,0,0,186,176,111,0,261,217,88,0,0,0
