OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Confidence
315ca54360c9e511b5a27896123114a5,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Anaerorhabdus] furcosa group,0.999973513
2bfe94e50b5de09f9bf171c7bea83de2,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Anaerorhabdus] furcosa group,0.999965638
9d9051d35c0883a600e44cdc44467a4d,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Anaerorhabdus] furcosa group,0.999955235
33515aabae8f1bbdecdd9880998776d9,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Anaerorhabdus] furcosa group,0.999976402
f316356683afb6d52632afdf4c972752,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Clostridium] innocuum group,0.999998371
5b3a6aff85097870bb18692b191cefac,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Clostridium] innocuum group,0.99999872
85e065823236141ff61633b88bd86211,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Clostridium] innocuum group,0.999994147
b58cb8db04255c14dc454f1ed6594827,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Clostridium] innocuum group,0.999998281
fc232fd52adfbdb41d88564e34a7526a,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Clostridium] innocuum group,0.999998809
60f3f0aa7df046f54856e3b70089a428,D_0__Bacteria,D_1__Firmicutes,D_2__Erysipelotrichia,D_3__Erysipelotrichales, Erysipelotrichaceae,[Clostridium] innocuum group,0.999999564
4a41233347a7ed6ee0df5a7ddc9ba926,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales, Marinilabiliaceae,[Cytophaga] xylanolytica group,0.977418576
6f27a46e0a291f2470764a16537724f9,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] brachy group,0.999697201
64219acdd2d868f1b15a8008515ab598,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] brachy group,0.999681229
de2ce4c8f9db45f7633c533b68d824ac,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] brachy group,0.999999994
abb26c1e6079817b1f069a881d5ee253,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.999027521
7f307e98e4a38ad03eaeb29a7a99abb4,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.999100046
6cab99d8a15683f36a6dcfefa7d5dfea,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.986287706
6bd426d5634bb4aa3bb48bf0f0d63ad9,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.975159901
b2d71cc6e2e01bc29281c43d34da678e,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.844139942
d064d889ed1e6101eb5cc06c07063f62,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.740971664
5b98ce3e63b5d28c579d0af57b2a99cc,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.992943656
18383923d51920962ff8966051b6dd47,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.999994697
d119c9d0faf19846e545329fb910f1ea,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.998800871
55e3b4a754f24bc34a8e90f5781cdf27,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.9269896
caff95e4a81130ea9dd6c5be71ca01e9,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.763002934
b3ff8c25e63e1b49c7798a0146fbd6fe,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.997928261
2cf2e8623e730a5705444054965bc9a3,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.999953797
33ae06f9bf813177083d20df4cfbf5f0,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.885706078
83cd4070fe5b59249303b87771ebcd37,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Ruminococcaceae,[Eubacterium] coprostanoligenes group,0.999038512
62b9fc8b74059669bb8bc152ca063c97,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999973895
6b036b635a6114b2302bdff3b9fcf79f,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999987658
1724bd03f701146ce80b49fb4e5a7687,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999983278
a8705ce9c5397ac8036c95e88cd03a76,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999984268
6c55545cedec379a2e80e5fc065cd4a2,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999980982
ba42d5990a9876a4622e355dad9ead44,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999966756
7628b8d54168b3bbf2d5911315a9761b,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] eligens group,0.999973895
68cbd4ada492bd7afb00f00f9129fe4c,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999843
6394d6c7688324415f31a853c709f5ca,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.853099055
c2bd95acb8f1ce06073c049ccae24af1,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999757
17ba301c588e5f2c81c3f7b57fcbf49e,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999848
141309f1b3b12facd6641d51f44e2c46,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.876102511
d6f409846aced7aabf4471c66a6673b8,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.769977414
27a5e934e155068eb46d3601a0ce3901,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999792
842025b48c11c39d917e0286900b6cad,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999821
1fd05502889173d68bb24062afe22ff6,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999874
ccc8e58a7baba87422fd5486594845dd,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] hallii group,0.999999001
df7cb927090f6789e5e43d371d6f0bc3,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] nodatum group,0.769388254
0ced8e4eb30385243f1120a1ff789f31,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] nodatum group,0.74773983
322d63a463178e1f0d44407460c9a258,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] ruminantium group,0.977885347
099c34ca0a6fec76e63c1879167bd621,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] ruminantium group,0.92685727
0dbb8ffeb5be81ac244f2b47b2629c09,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] saphenum group,0.990707438
a5361785ca0030564c1e751dae6121c2,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Family XIII,[Eubacterium] saphenum group,0.987334694
bc0919b4516f2c391f4a18c7e587b460,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] ventriosum group,0.999903745
070f332e6f053088f86e217e62610642,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] ventriosum group,0.999916489
1011c292925e22bd85ccd11e7cce694d,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] ventriosum group,0.813033162
5a8142a57e3faf8baf39f2972af8b31f,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Lachnospiraceae,[Eubacterium] xylanophilum group,0.840200004
f45accd11b4d18f178e84083c14751fc,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Peptostreptococcaceae,[Eubacterium] yurii group,0.999999723
111cb236caf57029fae58841721c7179,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Peptostreptococcaceae,[Eubacterium] yurii group,0.99999979
f55cf8b72677dad537c2bc7dd72e5a0e,D_0__Bacteria,D_1__Firmicutes,D_2__Clostridia,D_3__Clostridiales, Peptostreptococcaceae,[Eubacterium] yurii group,0.999999801
