OTUI,006W2,012W2,014W2,015W2,016W2,017W2,018W2,103W2,104W2,105W2,107W2,108W2,109W2
461e88572c8531337fca53eec668f6af,760,1210,2031,89,759,694,246,250,1535,811,2773,2826,1655
4097a388df74933fcfcfccf035b999dc,492,1192,1632,73,555,468,385,0,985,370,1825,1927,1301
b41203c39cb61b9cad701eae576c7a1f,408,1314,1679,90,412,343,312,0,887,204,1555,865,847
b5b0a1eaf94f7c48cca227b748b1036d,1409,0,256,75,980,0,0,388,179,316,160,156,245
9992356b67d588dcfae3705dff08cab0,432,1114,1207,72,348,202,117,0,759,310,1330,967,582
63dc415afa46898d8f95e86cacdc2959,261,1551,1127,71,184,151,143,0,458,131,937,416,326
0785e6aa088438bcb540dff46140d8dc,305,1228,1080,79,270,137,151,0,510,149,897,738,473
7959d6c6e725d05ab35dc33940d086e6,200,685,1081,60,618,316,189,0,773,294,721,1020,863
4785ca0d6be9ce6b756299fdb9cbd446,262,582,966,52,665,182,128,0,974,515,736,1320,967
094f65a2e1dc6dc372adb7d92578960a,779,196,0,0,670,0,0,285,0,0,0,209,0
3bbe760934382858060797fe375bfae9,205,580,943,106,678,206,156,0,679,226,643,883,864
d1bf5cbb64f8143d138fceda9490ca0b,140,807,1036,66,305,196,146,0,382,83,358,645,466
5fefd58eff69972a90d5e8028ba79fa1,734,0,0,0,537,73,103,254,0,0,0,0,0
298ecc6af776bb7edff402ad29dcba9f,168,700,923,0,371,223,113,0,485,139,437,569,465
061f96f0edf66dc86ed5fdc108beb5bd,345,0,0,0,707,0,0,264,0,0,0,0,0
1a51394e215894d87a1cd321fc8556a1,719,0,0,0,464,0,0,190,0,0,0,0,0
0c0223d88228e470fd1520acdb55adad,431,0,0,0,794,0,0,231,0,0,0,82,0
122abc1a0801399ae12837ae3f7ad8e4,318,0,0,0,765,0,0,190,0,0,0,0,81
9bd57ec9560f1d1e419889a2c6ed0597,284,0,114,0,558,0,0,242,0,0,0,0,0
9ed12ad9eb23953f49fa4112d8487ba1,422,0,0,0,267,0,0,155,0,0,0,0,0
2990a0b19ee737c3819b09eab3854f41,433,0,0,0,244,0,0,96,0,0,0,0,0
85d3fce12aaa2b050781ed410765568a,133,0,0,0,0,0,0,0,0,0,77,0,1434
9bf4bfd490198dfcaf6f33c9ac7bd23d,246,0,0,0,452,0,0,133,0,0,0,0,0
e3df63291734eff5d4e84915c9433425,701,0,0,206,998,0,0,75,166,15,332,297,0
b790cecad3d91a6a103b4287cd42e02e,0,0,0,0,122,0,0,0,78,0,0,84,1260
11726ed62c9b4eb40ca0c8e9c38a90d6,0,0,105,0,0,0,0,21,0,0,0,0,806
b8bfe583dafe3e4d9fece27d5563a8af,268,0,130,0,159,0,0,0,0,0,0,96,0
3e212ec59d2a26034a9461b3be2dfef9,338,0,0,0,176,0,0,0,16,64,119,0,0
