OTUID,006W4,010W4,014W4,015W4,016W4,017W4,018W4,103W4,104W4,105W4,106W4,107W4,108W4,109W4
461e88572c8531337fca53eec668f6af,72,110,352,0,160,0,0,0,232,111,0,170,186,116
4097a388df74933fcfcfccf035b999dc,160,98,0,0,0,0,0,209,159,159,274,135,75,295
b41203c39cb61b9cad701eae576c7a1f,106,120,0,0,0,190,0,0,182,0,0,162,80,303
b5b0a1eaf94f7c48cca227b748b1036d,2329,1399,1934,269,735,1623,207,1433,5168,1944,1510,2825,647,268
9992356b67d588dcfae3705dff08cab0,73,111,0,314,0,0,0,0,158,111,0,89,90,111
63dc415afa46898d8f95e86cacdc2959,179,102,151,0,0,0,0,0,101,0,0,0,0,276
0785e6aa088438bcb540dff46140d8dc,121,83,0,0,0,0,178,0,137,0,0,292,97,285
7959d6c6e725d05ab35dc33940d086e6,90,85,0,0,0,0,0,0,127,58,0,63,0,259
4785ca0d6be9ce6b756299fdb9cbd446,42,123,0,0,0,0,0,0,197,98,0,70,0,201
094f65a2e1dc6dc372adb7d92578960a,2943,1176,1271,399,632,1297,194,1156,2906,917,1092,2493,431,620
3bbe760934382858060797fe375bfae9,53,82,0,0,0,0,0,0,127,0,0,66,0,266
d1bf5cbb64f8143d138fceda9490ca0b,69,77,0,0,0,0,0,0,0,0,0,69,77,226
5fefd58eff69972a90d5e8028ba79fa1,3355,1234,1292,560,425,1198,215,820,2332,812,983,2238,467,804
298ecc6af776bb7edff402ad29dcba9f,65,99,0,0,0,0,0,0,69,43,0,0,119,233
061f96f0edf66dc86ed5fdc108beb5bd,1922,819,695,159,857,936,212,946,2107,850,795,1145,323,644
1a51394e215894d87a1cd321fc8556a1,1577,1027,1886,302,375,603,122,535,2680,650,832,1097,326,249
0c0223d88228e470fd1520acdb55adad,1077,767,756,107,589,566,116,788,3075,1116,891,947,258,401
122abc1a0801399ae12837ae3f7ad8e4,1528,868,668,193,650,602,154,823,1746,726,771,1100,249,522
9bd57ec9560f1d1e419889a2c6ed0597,2005,944,596,269,786,816,135,903,1265,550,851,1569,319,650
9ed12ad9eb23953f49fa4112d8487ba1,1969,1060,1384,364,340,615,128,501,1487,413,673,1313,322,641
2990a0b19ee737c3819b09eab3854f41,2492,1236,1496,451,255,486,133,372,1347,417,622,1185,300,581
85d3fce12aaa2b050781ed410765568a,147,0,0,0,0,0,44,20,0,0,0,121,0,109
9bf4bfd490198dfcaf6f33c9ac7bd23d,1835,1092,675,226,493,501,158,526,1281,534,757,1020,305,547
e3df63291734eff5d4e84915c9433425,0,0,0,0,0,0,36,0,0,0,0,0,76,0
b790cecad3d91a6a103b4287cd42e02e,0,0,0,73,0,0,0,0,0,0,0,0,0,205
11726ed62c9b4eb40ca0c8e9c38a90d6,0,165,0,0,0,0,0,0,0,0,0,0,157,261
b8bfe583dafe3e4d9fece27d5563a8af,420,300,195,103,124,353,0,44,256,288,186,166,375,0
3e212ec59d2a26034a9461b3be2dfef9,345,99,274,0,133,246,125,98,788,828,242,619,212,72
3824b3f159f036f4358a344e9c0f382f,0,0,0,0,0,0,0,0,0,68,0,103,0,0
d374682147173515630598e0e483924e,0,0,0,0,0,0,0,0,0,0,0,0,0,234
0bcb53855af97159c395aeb88833dcba,0,0,0,0,0,0,0,0,130,0,0,0,0,0
21c57ad5c5ec7c24404d687accc2c620,0,159,89,0,0,182,0,0,0,68,0,0,51,0
8f49c09144667b6ffe7b00ef3c32b3aa,0,0,68,0,55,69,0,0,0,78,0,0,0,0
9a58a85ddf3248935651994771815066,0,0,0,0,26,49,0,0,0,0,0,0,0,154
7dca7af5849f88ad4c6a7b28816dcb9a,0,0,91,0,0,0,0,0,0,0,0,0,0,215
ef8117495584b56d93548abadbd6cd95,0,0,0,0,0,0,0,0,0,0,0,0,0,179
d7bd96a9eac19c340eb5b474627a71be,0,0,0,0,0,0,0,0,0,0,0,0,0,192
39d16bf5914bdb10e3e5a757a1218128,160,0,223,0,148,249,176,0,246,396,184,0,158,0
f285706d7b44425572a63b08341f920b,399,89,189,66,118,231,101,246,469,464,208,580,129,140
731b960f23d3504535554eccba9f97f2,0,0,0,0,0,0,0,0,0,0,0,0,0,177
85a6d642470b605d7446bda4b5dea812,462,264,135,99,0,419,47,0,203,120,0,145,254,0
6c3ef2d4a3168003d6ab92f0a78e52db,298,187,208,78,140,371,174,0,236,241,314,248,280,0
5a3aea466a183c2d38eb8b176d4bd0a9,183,218,0,51,0,260,159,160,244,210,213,445,0,0
28f13fc574332ed14594035be1f60b98,0,0,0,0,0,0,0,0,0,0,45,0,0,212
9e9b57cb089c3a4a70c25eacd0e8ad39,0,0,0,0,0,0,0,0,0,0,0,0,0,175
60cc7d8592d0be3c2826c6267eae2984,65,0,0,60,138,0,178,0,0,331,299,229,270,0
1f2caf42bbd4905672ded7cddaeca40c,0,0,0,0,0,0,0,0,152,0,0,0,141,68
e26fbebba4cc952ff2208d98a43df8e5,356,90,157,138,0,324,69,0,444,194,0,0,394,0
d39ee45607955971f9eaad76d0059f67,120,0,0,0,0,0,0,0,0,0,0,0,0,0
cc215a476252ea0ccd4bcf3bd45faf46,515,275,143,120,0,0,0,0,269,120,0,125,242,0
c3e1fc1c37e41eddf2684a0666c93167,0,0,0,0,0,0,0,0,0,78,0,0,0,264
c7f5c0285b89fcff5c9778bc384d62b8,458,103,197,209,62,108,135,0,386,356,188,484,66,151
c4ded8599b47108d5e34a11cb2f103dc,0,0,0,0,0,0,0,35,0,0,0,0,0,0
a89bdeef9e2e518ad28c6899075afe38,0,110,320,0,0,0,0,0,498,177,0,0,230,0
512fb2bfcb9f08fd7f1de3864b167c89,164,0,0,124,125,0,150,0,129,0,133,423,132,0
23ff1ceda1352ef7d1582c230a0a9494,268,0,0,0,0,0,55,0,0,0,0,0,0,0
5c85119666bb9fc827c3315134cf59f8,0,0,19,0,0,0,0,0,0,18,0,0,0,0
b3b3eefd165e929f784f912165c76013,218,0,0,167,0,68,97,0,126,244,143,388,86,0
81d77fcc068b215e9a04729053416a8c,176,0,129,0,0,0,0,162,0,0,0,0,0,0
98ec867428fa2d84f8abd2eafcc97651,0,77,0,0,0,0,0,0,65,0,0,0,0,0
b9cd672a2b71e2ac6b686dc3de3972bb,244,0,0,0,0,0,0,0,0,0,0,0,0,0
dd8a09521c78c44b26ce59188b1c1341,0,0,0,0,0,0,0,56,0,0,64,0,0,0
51dfc8e30f17859a5f8d011d1718e6dc,405,75,109,191,0,304,95,0,260,267,0,0,254,0
9348e6e1aa675e632fd5bcaf53208399,353,162,110,119,186,0,210,0,149,124,187,152,211,65
50871ef57b5bd745fc903b8221f46eee,0,0,0,0,0,0,0,0,0,0,0,0,0,36
5bfa6cc0f61bc374074856a27cfe51d6,0,238,0,0,0,0,0,0,0,0,0,0,161,0
078ca2e2199edabd0c9a69d1285ec237,305,0,0,0,0,180,0,121,0,0,0,0,223,0
3d95d9af453da2420df18136607e0274,0,0,76,0,81,419,0,0,0,0,0,0,153,0
b10448cd4124bdfd706450a4189961ef,0,0,165,0,0,154,0,0,291,981,0,224,2305,0
39e4e482fac866fb40dac0bb65fff8c1,132,0,0,0,0,0,0,0,0,57,0,0,0,0
a12e2fa6917f40e375725c9eb63bd598,329,212,66,44,107,0,0,0,110,146,0,86,170,0
