OTUID,001W5,006W5,014W5,015W5,101W5,104W5,105W5,107W5,109W5
461e88572c8531337fca53eec668f6af,91,0,1956,1484,0,1355,2157,386,1069
4097a388df74933fcfcfccf035b999dc,0,0,1845,1644,0,706,1166,265,1266
b41203c39cb61b9cad701eae576c7a1f,0,308,2046,1965,0,575,893,213,1298
b5b0a1eaf94f7c48cca227b748b1036d,117,1167,209,0,185,153,250,373,273
9992356b67d588dcfae3705dff08cab0,0,47,1810,1113,0,549,1005,137,672
63dc415afa46898d8f95e86cacdc2959,0,0,2199,1353,0,305,434,128,696
0785e6aa088438bcb540dff46140d8dc,0,236,1867,1258,0,391,554,189,682
7959d6c6e725d05ab35dc33940d086e6,0,0,1074,947,0,442,1075,122,904
4785ca0d6be9ce6b756299fdb9cbd446,0,159,842,649,0,571,1371,119,581
094f65a2e1dc6dc372adb7d92578960a,135,1223,0,0,256,250,0,0,0
3bbe760934382858060797fe375bfae9,0,0,995,823,0,421,922,165,739
d1bf5cbb64f8143d138fceda9490ca0b,0,0,1122,1024,0,217,509,86,890
5fefd58eff69972a90d5e8028ba79fa1,213,1973,0,0,305,0,0,0,0
298ecc6af776bb7edff402ad29dcba9f,0,0,1096,883,0,281,633,130,761
061f96f0edf66dc86ed5fdc108beb5bd,93,755,0,0,123,75,59,0,0
1a51394e215894d87a1cd321fc8556a1,107,1125,0,0,132,101,73,0,0
0c0223d88228e470fd1520acdb55adad,68,596,0,0,75,106,105,0,0
122abc1a0801399ae12837ae3f7ad8e4,83,657,0,0,135,118,0,112,0
9bd57ec9560f1d1e419889a2c6ed0597,104,834,0,0,121,0,0,0,0
9ed12ad9eb23953f49fa4112d8487ba1,131,1135,0,136,172,0,0,96,0
2990a0b19ee737c3819b09eab3854f41,152,1235,0,0,153,91,0,0,0
85d3fce12aaa2b050781ed410765568a,0,0,0,0,0,75,0,0,985
9bf4bfd490198dfcaf6f33c9ac7bd23d,73,945,0,0,103,0,0,0,0
e3df63291734eff5d4e84915c9433425,0,0,152,0,279,454,91,304,0
11726ed62c9b4eb40ca0c8e9c38a90d6,0,0,134,0,0,0,0,0,1347
b8bfe583dafe3e4d9fece27d5563a8af,144,211,0,0,113,0,0,0,0
3e212ec59d2a26034a9461b3be2dfef9,0,277,0,0,0,104,0,0,0
3824b3f159f036f4358a344e9c0f382f,0,0,0,115,254,230,0,0,0
21c57ad5c5ec7c24404d687accc2c620,149,217,0,76,82,229,0,144,31
9a58a85ddf3248935651994771815066,0,0,0,0,0,0,0,16,536
73ce0f30b3de6fc46137e1732137695e,172,572,0,0,178,303,0,0,0
7dca7af5849f88ad4c6a7b28816dcb9a,0,0,0,0,15,0,45,0,664
39d16bf5914bdb10e3e5a757a1218128,0,212,0,0,0,103,0,0,0
f285706d7b44425572a63b08341f920b,0,263,0,0,258,0,0,0,55
731b960f23d3504535554eccba9f97f2,0,147,0,0,0,0,0,0,871
85a6d642470b605d7446bda4b5dea812,135,247,0,0,147,207,0,0,0
5a3aea466a183c2d38eb8b176d4bd0a9,178,139,0,0,133,192,0,0,0
58b00b511641d586ae870763172bd650,49,0,0,0,0,22,0,0,0
e26fbebba4cc952ff2208d98a43df8e5,0,165,0,0,0,0,0,0,86
cc215a476252ea0ccd4bcf3bd45faf46,244,248,0,0,145,0,0,75,0
c7f5c0285b89fcff5c9778bc384d62b8,96,292,0,0,0,0,0,0,0
512fb2bfcb9f08fd7f1de3864b167c89,57,77,0,0,0,0,0,0,15
81d77fcc068b215e9a04729053416a8c,50,0,0,0,89,0,0,0,0
f12718dbb5068de7bba6e44db549a1f5,0,0,0,0,96,196,0,0,0
09ae43ef279a9e934fc1cec69b91ef02,0,0,0,0,0,0,27,39,0
98ec867428fa2d84f8abd2eafcc97651,0,0,0,0,0,0,83,100,0
b9cd672a2b71e2ac6b686dc3de3972bb,0,103,177,0,164,212,0,0,0
dd8a09521c78c44b26ce59188b1c1341,0,0,0,0,115,125,0,0,0
b9f6bb04c1f2bf5a64cd07e124bbc6cf,0,0,0,0,124,189,0,0,0
875b7e2636dfa43de39ac0b55525378b,0,98,0,0,129,98,0,0,0
a12e2fa6917f40e375725c9eb63bd598,0,150,0,164,62,0,0,0,0
5abbeb2b46fb4d461812e6667166aeb6,0,62,0,0,0,0,0,0,114
d4e9b5916b230761f8f166d52791f319,0,0,0,0,164,182,0,0,120
c50e99458383ebf13ec3c37e8bd41b0d,125,0,0,0,0,0,0,118,0
c505e5292d56c52b738fea0e59cf10d3,171,207,0,0,72,0,0,0,0
465e917ea06d1ce6ea785d27f0372ef6,0,219,0,0,89,0,0,0,0
99c02683cc24f7897a97a5538b42dd5f,0,149,40,0,0,0,0,0,0
5ae8231c8df25f251314ff0003b99e0d,0,0,0,0,174,445,0,0,0
