OTUID,006W6,010W6,015W6,101W6,104W6,105W6,106W6,107W6,108W6,109W6
461e88572c8531337fca53eec668f6af,298,3362,528,0,2077,499,121,529,1127,272
4097a388df74933fcfcfccf035b999dc,357,2538,686,0,971,365,193,758,722,282
b41203c39cb61b9cad701eae576c7a1f,412,3053,869,0,781,309,78,531,711,240
b5b0a1eaf94f7c48cca227b748b1036d,1161,364,0,76,281,150,765,0,87,0
9992356b67d588dcfae3705dff08cab0,321,2467,470,0,851,133,101,286,592,126
63dc415afa46898d8f95e86cacdc2959,390,2428,1031,0,418,109,37,322,444,132
0785e6aa088438bcb540dff46140d8dc,294,2055,666,0,505,104,0,331,495,165
7959d6c6e725d05ab35dc33940d086e6,173,1562,453,0,629,382,68,257,441,254
4785ca0d6be9ce6b756299fdb9cbd446,76,1659,288,0,893,367,88,181,426,194
094f65a2e1dc6dc372adb7d92578960a,1565,0,0,100,210,76,486,308,0,0
3bbe760934382858060797fe375bfae9,162,1551,512,0,514,340,99,163,366,188
d1bf5cbb64f8143d138fceda9490ca0b,266,1412,703,57,282,212,56,215,417,194
5fefd58eff69972a90d5e8028ba79fa1,2069,0,0,89,114,100,338,0,0,0
298ecc6af776bb7edff402ad29dcba9f,180,1723,553,0,351,204,86,177,390,233
061f96f0edf66dc86ed5fdc108beb5bd,753,0,0,207,0,104,339,0,0,0
1a51394e215894d87a1cd321fc8556a1,839,0,0,0,0,0,309,0,0,0
0c0223d88228e470fd1520acdb55adad,394,0,0,0,124,142,391,75,0,0
122abc1a0801399ae12837ae3f7ad8e4,648,136,0,75,0,176,261,0,0,0
9bd57ec9560f1d1e419889a2c6ed0597,986,0,170,106,0,136,301,0,0,0
9ed12ad9eb23953f49fa4112d8487ba1,1303,0,0,52,0,25,193,0,0,0
2990a0b19ee737c3819b09eab3854f41,1492,134,0,131,0,0,196,0,0,0
85d3fce12aaa2b050781ed410765568a,0,0,0,0,79,0,0,0,0,482
9bf4bfd490198dfcaf6f33c9ac7bd23d,824,0,0,93,0,0,250,0,0,0
e3df63291734eff5d4e84915c9433425,238,284,0,130,290,0,0,0,0,0
b790cecad3d91a6a103b4287cd42e02e,0,0,53,0,0,0,0,0,0,320
11726ed62c9b4eb40ca0c8e9c38a90d6,209,111,0,0,0,0,0,0,0,259
b8bfe583dafe3e4d9fece27d5563a8af,266,0,0,0,221,0,275,112,0,0
3e212ec59d2a26034a9461b3be2dfef9,193,0,0,217,140,0,301,0,23,0
3824b3f159f036f4358a344e9c0f382f,258,0,0,243,206,0,0,0,0,0
21c57ad5c5ec7c24404d687accc2c620,183,134,0,0,272,0,0,0,0,0
73ce0f30b3de6fc46137e1732137695e,273,0,0,156,108,0,0,0,0,0
d7bd96a9eac19c340eb5b474627a71be,0,0,0,0,0,0,34,0,0,148
39d16bf5914bdb10e3e5a757a1218128,342,0,0,0,59,0,291,0,0,0
f285706d7b44425572a63b08341f920b,310,0,51,0,0,118,85,0,0,0
85a6d642470b605d7446bda4b5dea812,348,0,0,192,0,0,0,0,0,0
5a3aea466a183c2d38eb8b176d4bd0a9,123,0,0,0,142,0,195,103,0,0
58b00b511641d586ae870763172bd650,231,0,38,0,107,0,0,0,0,0
9e9b57cb089c3a4a70c25eacd0e8ad39,0,0,0,0,0,23,0,0,0,216
60cc7d8592d0be3c2826c6267eae2984,0,0,0,0,0,66,259,0,0,0
1f2caf42bbd4905672ded7cddaeca40c,258,0,0,167,0,67,268,98,0,0
cc215a476252ea0ccd4bcf3bd45faf46,420,0,0,0,0,0,0,0,0,27
c7f5c0285b89fcff5c9778bc384d62b8,360,66,0,0,0,0,0,0,0,0
c4ded8599b47108d5e34a11cb2f103dc,312,78,0,0,0,0,0,0,12,0
512fb2bfcb9f08fd7f1de3864b167c89,409,0,0,0,0,54,0,0,0,0
b3b3eefd165e929f784f912165c76013,166,0,0,0,0,152,179,0,0,0
81d77fcc068b215e9a04729053416a8c,289,0,0,174,0,0,0,0,0,0
f12718dbb5068de7bba6e44db549a1f5,132,0,0,72,0,0,0,0,0,0
b9cd672a2b71e2ac6b686dc3de3972bb,153,109,0,131,0,0,0,0,0,0
dd8a09521c78c44b26ce59188b1c1341,130,0,0,99,0,0,0,0,0,0
51dfc8e30f17859a5f8d011d1718e6dc,190,0,0,0,0,0,200,0,0,0
5bfa6cc0f61bc374074856a27cfe51d6,75,0,0,0,0,0,76,0,0,0
078ca2e2199edabd0c9a69d1285ec237,0,0,0,0,56,0,184,0,0,0
3d95d9af453da2420df18136607e0274,109,0,0,0,56,0,82,0,0,0
b9f6bb04c1f2bf5a64cd07e124bbc6cf,96,0,0,116,0,0,0,0,78,0
875b7e2636dfa43de39ac0b55525378b,163,0,0,161,0,263,0,0,0,70
39e4e482fac866fb40dac0bb65fff8c1,154,219,0,0,0,0,102,0,186,0
e8fb27cdade4f21030ae2ec2c7c5c65a,0,0,0,105,72,0,181,41,0,0
5abbeb2b46fb4d461812e6667166aeb6,0,0,0,0,32,0,0,0,0,327
d4e9b5916b230761f8f166d52791f319,204,0,0,82,56,0,0,0,0,0
a411d2d2a585cf5b0e120725cd5d92ee,0,84,0,0,0,10,0,0,0,0
c50e99458383ebf13ec3c37e8bd41b0d,0,0,0,117,0,0,0,112,30,0
465e917ea06d1ce6ea785d27f0372ef6,217,0,0,0,0,0,253,107,0,0
5ae8231c8df25f251314ff0003b99e0d,0,0,0,0,378,0,0,0,0,46
fba2c425666cc798aba66b67f343e7cb,75,0,0,0,0,61,0,107,0,0
5db3685b285e906a77e7b54c9151f332,0,174,0,0,229,101,0,0,10,0
3c7c2bff8010a2df93804ac94513591f,0,0,0,0,97,29,155,0,0,0
d3ee07171cd709aca368030b3209f716,122,0,0,0,0,0,105,0,0,0
4892f891da14927a3757123340696763,209,106,0,127,0,0,46,0,0,0
9ffb5190cf388cbbec7913498475a99c,234,0,0,0,115,0,0,0,0,0
e59be2f0704f3f609ad33fb05f9c8c3d,177,0,0,117,0,0,0,0,0,0
59b46738c3796eb8a58ef6444318efba,176,0,0,0,0,0,58,0,0,0
75729107decd79c5d5e090fcf5dd6755,172,0,0,87,0,0,75,0,0,0
7fafc6840f0649b5170fe142f8f936c1,261,0,0,155,0,0,0,0,0,0
feb2dc98b4f1630df7158b754f4486a2,233,0,0,0,0,0,48,0,0,17
2b2c981ac9beb12f83ab35a415587e97,270,0,0,0,0,272,0,0,0,0
1871e37f08816e92048c77f7fe220b87,128,0,90,0,0,0,0,0,0,0
c19a37d32d24511f00ba3485d1220e2d,0,32,0,0,0,0,0,7,0,0
95d4e5d77eb28dee70ccfa0b548e56ca,99,0,0,0,0,0,161,0,0,0
78d81b00750eaccc6635b070085b4d38,0,0,163,0,0,0,0,0,10,0
d5b3e2256181d083769e7cbe2547e843,194,0,0,72,0,0,0,0,0,0
c83de1fa8644cae296fb81c7d0b1c95b,133,0,0,0,0,0,0,0,0,38
4509f00c097d6ac06e787fdf4291c972,67,0,0,0,0,0,123,0,0,0
3868fe642ad7a297f20fd29db63f1cfc,57,0,0,50,0,0,0,70,0,0
89eb05a1116986a85b843ace280b8b2a,89,0,0,0,0,0,214,0,0,0
dfe2cf99425be4cfbd386f422a478095,123,0,175,56,0,0,0,0,0,0
29584c306ab826d7ae491dcdb014dcf9,197,0,91,0,0,0,0,0,0,0
3072a3979318827a5b097f865f24bb49,115,144,0,0,0,0,0,193,0,0
8c31fd1098cb649d62fb10d46936eda8,373,0,197,0,0,0,0,0,0,0
5df4619d188e7f1c7c250738d0599c89,13,0,0,0,0,0,149,0,0,0
4a13064812d93b43916426da9664af74,140,0,0,118,0,0,0,0,0,0
4ffe7a36d3e9b9147a697b6391bb1a17,0,0,0,0,91,0,0,0,133,0
a983799f4843e1a9d165a8bef1235858,124,0,0,36,0,0,0,0,0,0
eeae07184e5e893dc443e46819033764,221,25,0,0,0,0,0,0,0,0
f5240bdfbbfb5d4aaebfeedb19236e02,0,100,147,0,0,196,0,0,0,82
6889a4f7c0d5b054d3757ca3c9c883ce,0,65,0,0,203,0,0,0,0,0
85cfe0f5719b8312f3084304db49e0da,458,47,0,0,0,0,0,0,0,0
3ed5390bceefb424cbac6aaecf10e7b3,353,306,0,0,0,0,0,0,0,0
25c5933dd6bcdb24f654fd12a4a57ca1,159,0,0,93,0,0,0,0,0,0
6dbeaca5516935f0c2e9c8b07aa4d43d,177,143,0,0,0,0,0,0,50,0
4ef6fa17dd0193dbc52346608e50dda4,0,44,0,29,33,0,0,0,0,0
8123ba097b4359c640a73bb292b0df73,273,55,0,0,0,0,0,0,0,0
3387ae2a0c84e3c0837e5f2ffb2a69af,394,110,0,0,0,0,0,0,0,0
06c455ca1a5e8aaadad3a503698b2c27,0,0,0,195,0,41,0,0,0,0
5fe266e2710d52e46fd8d1f52caf4848,137,0,0,0,0,0,64,0,0,0
98d85850fdc1de580f3305eefb4ae9ea,0,0,95,0,0,0,14,0,0,0
c42a72e8c63206c9f10f630d81a08830,112,0,0,0,51,0,0,0,0,0
59d4191fad3002d3ccd344a69166f61e,0,0,65,0,0,0,0,0,0,135
b2bafc29447c1eebc4aa9f9fc401e45e,45,139,0,0,0,0,0,0,0,0
8d68758f74b3de6fa71190091edf6fde,91,0,0,0,0,0,44,0,0,0
fd01400f27508a89ac8359371055e56c,369,0,0,0,0,68,0,0,0,0
8bd704bc24b4ed9e271cee9ec6234efc,141,102,0,0,0,0,0,0,0,0
209b9457ff38b41c1f2c26fda2fc1d6e,0,0,0,0,79,0,0,0,71,0
14c064c4a374798ef2e6f1b5f9f5405f,0,0,62,0,0,0,58,0,0,0
a126c37fe75327527f71b6b147c67998,208,122,0,0,0,0,0,0,80,0
8f27cb14dc5ef3b6add9c716cec7fbf5,125,161,0,0,0,0,0,0,0,0
4d4489f9009d5e29cecef45b6ff8588a,239,0,28,0,0,0,0,0,0,0
1e1ba2879ee4a670cf90513c9f9b78dc,133,0,0,91,0,0,129,0,0,0
18c0d9f42fa2535bbb9e554ff7800f16,50,0,0,0,0,24,0,0,0,0
13518c413bfd20965f2540cb2cd860da,0,0,0,0,0,0,23,0,35,29
1fe4ff4e04a0678740826aab52d8c68a,0,74,0,0,0,72,0,0,0,0
8848cc5603eaef4a0eda337e2d7ed879,0,0,0,0,0,0,10,0,46,0
63f89387c1f92dfaddc0889ef2b0467b,0,53,0,0,0,0,290,0,0,0
cb17cb6904e9d11a506695efbb96cd57,0,0,0,0,77,65,112,0,0,0
f5755eb569fefc0c8e7f50abc005901d,135,0,0,0,0,0,0,65,0,0
6681b618c58228d82290ef779dc92565,62,55,0,0,0,0,0,0,0,0
b850ab5963d6bc6ca2a2d486c6c62513,68,0,0,0,38,0,0,0,0,0
55ef160d5a9a8556282d8544102f7fc5,0,0,6,0,0,0,0,11,0,0
1aadd4700ab943116cdd70d585bce42b,192,0,0,0,0,0,0,20,0,0
7461991659dcd12ccb4775b71fb82dcb,0,0,0,0,95,0,0,0,5,0
1cc931e6e3a4abafe2803ddb93350ec9,0,116,0,0,0,0,0,19,0,0
f7bbe67bd7e3cc62f02d4fcedb6f6692,63,0,0,0,30,0,0,0,0,0
097434c68c3fe8ff49b99698e45830c8,0,96,0,0,38,0,0,0,0,0
