OTUID,001W7,006W7,014W7,015W7,016W7,101W7,102W7,104W7,105W7,107W7,109W7
461e88572c8531337fca53eec668f6af,0,1466,700,625,200,0,0,1798,1033,1859,864
4097a388df74933fcfcfccf035b999dc,0,936,513,842,226,0,53,1013,713,1601,1165
b41203c39cb61b9cad701eae576c7a1f,136,839,549,1076,0,0,0,916,704,1310,907
b5b0a1eaf94f7c48cca227b748b1036d,274,572,132,47,521,120,297,203,237,294,0
9992356b67d588dcfae3705dff08cab0,0,1004,737,572,0,0,0,1017,434,929,520
63dc415afa46898d8f95e86cacdc2959,0,632,825,755,49,0,0,521,348,739,538
0785e6aa088438bcb540dff46140d8dc,0,780,640,684,0,0,0,501,373,855,622
7959d6c6e725d05ab35dc33940d086e6,0,572,270,469,136,47,0,699,790,726,826
4785ca0d6be9ce6b756299fdb9cbd446,0,526,230,290,106,0,0,888,816,647,566
094f65a2e1dc6dc372adb7d92578960a,209,392,84,152,387,97,488,106,0,364,0
3bbe760934382858060797fe375bfae9,0,465,240,448,178,0,0,609,605,608,658
d1bf5cbb64f8143d138fceda9490ca0b,0,370,298,589,71,0,0,405,510,554,609
5fefd58eff69972a90d5e8028ba79fa1,109,384,103,0,292,293,257,93,0,0,0
298ecc6af776bb7edff402ad29dcba9f,0,408,271,435,0,0,0,500,475,431,543
061f96f0edf66dc86ed5fdc108beb5bd,0,268,46,0,713,0,248,0,0,0,0
1a51394e215894d87a1cd321fc8556a1,104,315,127,0,301,0,116,117,0,0,0
0c0223d88228e470fd1520acdb55adad,0,228,42,0,401,62,145,60,0,0,0
122abc1a0801399ae12837ae3f7ad8e4,0,187,0,0,436,69,163,114,99,97,0
9bd57ec9560f1d1e419889a2c6ed0597,0,168,141,0,372,83,248,0,0,0,186
9ed12ad9eb23953f49fa4112d8487ba1,91,235,122,0,233,0,163,106,0,0,0
2990a0b19ee737c3819b09eab3854f41,138,219,143,180,197,0,117,0,0,101,0
85d3fce12aaa2b050781ed410765568a,0,151,0,0,0,0,0,0,0,0,746
9bf4bfd490198dfcaf6f33c9ac7bd23d,0,130,63,0,297,0,188,0,0,0,0
