OTUID,001W8,003W8,010W8,011W8,012W8,014W8,015W8,016W8,017W8,018W8,019W8,101W8,102W8,103W8,104W8,105W8,106W8,108W8,109W8,110W8
461e88572c8531337fca53eec668f6af,0,0,2551,0,325,164,1126,134,237,0,2726,0,90,219,2056,483,164,756,325,307
4097a388df74933fcfcfccf035b999dc,0,0,1719,0,370,132,1150,143,0,0,1468,0,0,220,1150,231,158,311,132,0
b41203c39cb61b9cad701eae576c7a1f,0,291,1785,0,738,147,1471,130,0,261,1452,0,0,135,1058,209,130,249,194,0
b5b0a1eaf94f7c48cca227b748b1036d,0,299,399,344,0,52,191,0,780,0,0,371,136,1476,272,0,227,560,0,425
9992356b67d588dcfae3705dff08cab0,0,0,1967,0,236,95,1101,79,0,0,1498,0,0,79,860,133,56,300,114,0
63dc415afa46898d8f95e86cacdc2959,0,0,1522,0,470,120,1013,77,0,0,1054,0,0,59,588,89,74,157,108,0
0785e6aa088438bcb540dff46140d8dc,0,100,1441,0,335,95,1037,92,0,0,1043,0,0,0,584,91,60,187,93,0
7959d6c6e725d05ab35dc33940d086e6,0,0,1185,0,311,97,757,177,0,98,949,0,0,138,771,199,159,186,99,0
4785ca0d6be9ce6b756299fdb9cbd446,267,0,1098,0,220,106,571,124,0,0,984,0,0,112,1022,200,139,237,136,0
094f65a2e1dc6dc372adb7d92578960a,416,0,0,0,0,0,60,0,726,0,364,337,432,1175,67,0,234,309,0,184
3bbe760934382858060797fe375bfae9,0,0,890,0,302,104,735,168,0,0,780,0,0,168,682,142,110,170,115,83
d1bf5cbb64f8143d138fceda9490ca0b,0,0,923,0,474,106,694,163,0,0,646,109,0,123,571,101,110,94,92,0
5fefd58eff69972a90d5e8028ba79fa1,0,0,0,0,0,253,79,0,516,415,0,259,0,924,0,0,220,272,0,170
298ecc6af776bb7edff402ad29dcba9f,0,0,1066,0,371,139,637,116,82,0,705,0,0,123,602,109,180,111,96,0
061f96f0edf66dc86ed5fdc108beb5bd,219,0,0,0,0,42,0,0,473,0,150,0,183,880,0,108,203,195,0,0
1a51394e215894d87a1cd321fc8556a1,0,0,142,0,0,68,0,0,399,0,0,0,0,443,0,0,116,319,133,0
0c0223d88228e470fd1520acdb55adad,0,0,73,0,0,0,0,160,419,0,0,120,81,787,0,0,466,248,0,118
122abc1a0801399ae12837ae3f7ad8e4,0,0,0,0,123,73,31,0,385,0,0,182,0,767,86,0,183,147,0,118
9bd57ec9560f1d1e419889a2c6ed0597,0,0,0,0,0,0,0,394,505,0,0,0,0,805,0,0,184,147,0,0
9ed12ad9eb23953f49fa4112d8487ba1,0,0,0,0,0,190,169,0,362,0,0,0,0,447,94,0,113,215,0,0
2990a0b19ee737c3819b09eab3854f41,144,0,0,0,0,0,0,0,283,0,0,0,0,398,0,0,108,145,0,0
85d3fce12aaa2b050781ed410765568a,128,0,0,0,0,0,0,78,96,0,2389,0,0,0,0,0,0,43,174,0
9bf4bfd490198dfcaf6f33c9ac7bd23d,0,0,0,0,0,0,0,0,270,0,0,0,45,619,0,0,146,110,0,0
e3df63291734eff5d4e84915c9433425,0,0,323,0,0,209,0,152,138,0,156,181,0,369,229,0,280,390,0,0
b790cecad3d91a6a103b4287cd42e02e,0,0,0,0,0,162,0,0,0,0,1563,46,0,0,63,0,0,0,120,0
11726ed62c9b4eb40ca0c8e9c38a90d6,0,140,149,0,0,0,0,0,0,0,1467,0,0,0,0,0,0,0,126,0
b8bfe583dafe3e4d9fece27d5563a8af,0,0,0,0,0,0,0,0,137,0,0,0,0,345,0,0,324,373,0,266
3e212ec59d2a26034a9461b3be2dfef9,0,0,0,131,0,0,0,0,188,86,0,112,0,223,0,0,0,351,0,0
3824b3f159f036f4358a344e9c0f382f,320,142,0,0,0,0,0,263,127,374,0,432,362,382,145,0,0,0,0,0
d374682147173515630598e0e483924e,0,0,0,0,0,0,0,0,0,0,1030,0,0,0,0,0,0,0,68,0
0bcb53855af97159c395aeb88833dcba,0,0,0,29,0,0,105,0,0,0,1485,0,0,0,0,0,0,0,80,0
21c57ad5c5ec7c24404d687accc2c620,488,0,0,0,0,216,131,0,534,0,142,414,79,363,348,0,249,0,0,0
8f49c09144667b6ffe7b00ef3c32b3aa,0,0,286,0,0,0,46,0,0,0,98,85,0,0,0,0,0,0,0,0
9a58a85ddf3248935651994771815066,0,0,0,0,0,0,0,0,0,0,982,0,0,0,0,0,0,0,96,69
73ce0f30b3de6fc46137e1732137695e,0,0,0,0,0,0,255,0,91,0,0,0,0,275,183,0,0,0,188,0
7dca7af5849f88ad4c6a7b28816dcb9a,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,78,0
ef8117495584b56d93548abadbd6cd95,0,0,0,0,0,0,0,0,0,0,804,0,0,0,0,0,0,0,92,0
d7bd96a9eac19c340eb5b474627a71be,0,0,0,0,0,0,0,0,0,30,1081,0,0,0,0,0,0,0,80,0
39d16bf5914bdb10e3e5a757a1218128,0,0,0,0,0,0,0,0,0,0,35,0,197,253,96,0,0,315,0,0
f285706d7b44425572a63b08341f920b,0,0,0,0,0,0,0,0,163,0,0,0,0,133,125,0,227,141,0,0
731b960f23d3504535554eccba9f97f2,0,0,0,0,0,0,0,0,0,0,719,0,0,102,0,21,0,0,50,0
85a6d642470b605d7446bda4b5dea812,0,207,0,0,0,0,103,0,107,0,0,0,0,0,0,0,0,0,0,0
6c3ef2d4a3168003d6ab92f0a78e52db,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,0,0
5a3aea466a183c2d38eb8b176d4bd0a9,0,0,0,107,0,0,0,0,213,0,0,0,0,149,120,0,0,345,0,0
28f13fc574332ed14594035be1f60b98,0,0,0,0,42,0,0,0,0,0,678,0,0,0,0,0,0,0,81,0
58b00b511641d586ae870763172bd650,147,140,0,76,0,0,0,0,0,0,0,0,92,0,0,0,0,46,0,0
9e9b57cb089c3a4a70c25eacd0e8ad39,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,77,0
60cc7d8592d0be3c2826c6267eae2984,0,94,124,0,0,0,0,0,105,0,92,78,0,0,0,0,114,403,0,0
1f2caf42bbd4905672ded7cddaeca40c,520,0,0,0,0,76,0,0,433,201,0,0,482,338,0,0,0,0,0,0
e26fbebba4cc952ff2208d98a43df8e5,46,0,0,0,0,0,0,0,84,0,0,0,0,360,0,0,0,118,0,0
d39ee45607955971f9eaad76d0059f67,0,104,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,98,0,0
cc215a476252ea0ccd4bcf3bd45faf46,0,0,0,0,60,0,0,0,82,0,0,0,0,0,0,36,0,0,0,0
c3e1fc1c37e41eddf2684a0666c93167,0,0,0,0,0,0,0,0,0,0,684,0,0,0,0,0,0,0,50,0
c7f5c0285b89fcff5c9778bc384d62b8,0,0,0,0,0,0,0,58,116,0,0,0,0,96,0,0,0,0,0,92
c4ded8599b47108d5e34a11cb2f103dc,0,150,0,0,0,0,0,0,0,320,0,0,0,0,0,0,0,0,0,0
3c829333f45c9986b34503bc47fb0287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0
a89bdeef9e2e518ad28c6899075afe38,0,0,0,76,0,0,0,0,320,0,0,0,0,0,0,0,283,0,0,204
ada0d7f0c02644bdd4b2daa272a6b0c1,0,0,0,0,0,0,0,0,0,0,547,0,0,0,0,0,0,0,0,31
512fb2bfcb9f08fd7f1de3864b167c89,0,27,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
23ff1ceda1352ef7d1582c230a0a9494,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c85119666bb9fc827c3315134cf59f8,190,0,167,177,0,0,0,0,1952,0,0,408,0,191,503,0,0,320,0,428
b3b3eefd165e929f784f912165c76013,0,0,0,0,0,0,0,0,142,0,0,0,0,207,0,0,0,0,0,0
81d77fcc068b215e9a04729053416a8c,524,0,319,0,0,0,0,0,353,0,0,0,0,222,0,0,0,0,0,267
f12718dbb5068de7bba6e44db549a1f5,0,0,0,0,0,0,57,0,58,0,0,0,0,137,0,0,0,0,0,0
09ae43ef279a9e934fc1cec69b91ef02,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,26
98ec867428fa2d84f8abd2eafcc97651,0,147,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,0,0
b9cd672a2b71e2ac6b686dc3de3972bb,0,0,0,0,0,67,167,0,162,0,0,0,0,123,0,0,0,0,0,0
dd8a09521c78c44b26ce59188b1c1341,0,0,0,0,0,0,57,303,58,0,0,0,0,251,0,0,80,0,0,0
51dfc8e30f17859a5f8d011d1718e6dc,0,0,0,0,0,0,0,0,134,0,0,0,0,0,154,0,204,0,0,0
9348e6e1aa675e632fd5bcaf53208399,241,0,0,0,0,0,0,0,199,0,0,0,0,299,0,0,231,0,0,0
50871ef57b5bd745fc903b8221f46eee,379,57,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5bfa6cc0f61bc374074856a27cfe51d6,0,0,0,0,0,0,0,0,254,0,0,0,0,133,0,0,0,133,0,0
078ca2e2199edabd0c9a69d1285ec237,0,0,0,0,0,0,0,0,284,0,0,114,0,113,0,0,0,0,0,0
3d95d9af453da2420df18136607e0274,0,0,0,0,0,63,0,0,112,0,0,0,0,0,0,0,0,304,0,0
b9f6bb04c1f2bf5a64cd07e124bbc6cf,0,0,0,0,0,0,30,116,84,0,0,198,0,258,0,0,0,0,0,0
4e797f5dc3a0722617983e7a428ead0a,0,0,0,66,0,213,0,0,0,0,0,264,0,357,43,0,0,0,0,0
b10448cd4124bdfd706450a4189961ef,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,101
875b7e2636dfa43de39ac0b55525378b,0,0,0,0,0,193,0,128,77,0,0,0,0,186,53,0,0,0,0,0
39e4e482fac866fb40dac0bb65fff8c1,0,0,394,0,0,0,176,0,0,0,0,0,0,214,0,0,0,144,0,0
a12e2fa6917f40e375725c9eb63bd598,0,0,150,0,0,0,0,0,112,0,0,202,378,0,146,0,0,0,0,0
e8fb27cdade4f21030ae2ec2c7c5c65a,0,0,0,0,0,0,0,149,58,0,0,0,0,233,60,107,0,0,0,0
5abbeb2b46fb4d461812e6667166aeb6,0,0,0,0,0,90,0,32,0,0,307,0,0,0,0,0,0,0,0,0
09200481c23b5473a5263797322a8ded,47,0,0,0,0,0,0,0,0,0,393,0,0,0,0,0,0,0,0,0
d4e9b5916b230761f8f166d52791f319,0,0,69,0,0,0,0,0,48,0,0,0,0,93,0,0,0,0,0,0
e362ea63ea3ee4c9954475abd6c21df0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0
a411d2d2a585cf5b0e120725cd5d92ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c50e99458383ebf13ec3c37e8bd41b0d,0,0,0,0,0,133,0,0,98,0,0,0,194,0,0,0,81,0,0,0
ff74d7b6608aefe8c09ceaaa746bf8ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c505e5292d56c52b738fea0e59cf10d3,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0
465e917ea06d1ce6ea785d27f0372ef6,0,0,0,0,0,0,0,0,65,0,0,0,0,306,114,0,0,0,0,0
99c02683cc24f7897a97a5538b42dd5f,0,0,0,0,0,0,0,0,123,0,0,0,0,167,0,0,0,0,0,0
5ae8231c8df25f251314ff0003b99e0d,0,0,438,0,0,0,0,0,148,0,0,0,0,40,187,0,0,0,162,0
fba2c425666cc798aba66b67f343e7cb,159,0,0,0,0,0,0,0,75,0,0,0,0,136,0,0,81,0,0,0
