OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Confidence
461e88572c8531337fca53eec668f6af,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.855033773
4097a388df74933fcfcfccf035b999dc,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.847300041
b41203c39cb61b9cad701eae576c7a1f,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.858479581
b5b0a1eaf94f7c48cca227b748b1036d,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986693523
9992356b67d588dcfae3705dff08cab0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.860793267
63dc415afa46898d8f95e86cacdc2959,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.866273868
0785e6aa088438bcb540dff46140d8dc,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.855582567
7959d6c6e725d05ab35dc33940d086e6,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.899711919
4785ca0d6be9ce6b756299fdb9cbd446,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.854557134
094f65a2e1dc6dc372adb7d92578960a,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986733544
3bbe760934382858060797fe375bfae9,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.838781371
d1bf5cbb64f8143d138fceda9490ca0b,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.856109327
5fefd58eff69972a90d5e8028ba79fa1,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986789417
298ecc6af776bb7edff402ad29dcba9f,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Ralstonia,0.819398797
061f96f0edf66dc86ed5fdc108beb5bd,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986527748
1a51394e215894d87a1cd321fc8556a1,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986222735
0c0223d88228e470fd1520acdb55adad,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.987315129
122abc1a0801399ae12837ae3f7ad8e4,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.987698221
9bd57ec9560f1d1e419889a2c6ed0597,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986632623
9ed12ad9eb23953f49fa4112d8487ba1,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986132182
2990a0b19ee737c3819b09eab3854f41,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.987045183
85d3fce12aaa2b050781ed410765568a,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999998873
9bf4bfd490198dfcaf6f33c9ac7bd23d,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.986719901
e3df63291734eff5d4e84915c9433425,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.99998909
b790cecad3d91a6a103b4287cd42e02e,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999999108
11726ed62c9b4eb40ca0c8e9c38a90d6,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999998883
b8bfe583dafe3e4d9fece27d5563a8af,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales, Pasteurellaceae,NA,1
3e212ec59d2a26034a9461b3be2dfef9,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Family XI,Gemella,0.999991211
3824b3f159f036f4358a344e9c0f382f,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999988714
d374682147173515630598e0e483924e,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999995712
0bcb53855af97159c395aeb88833dcba,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.99999942
21c57ad5c5ec7c24404d687accc2c620,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.999999793
8f49c09144667b6ffe7b00ef3c32b3aa,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales, Moraxellaceae,Moraxella,0.776609389
9a58a85ddf3248935651994771815066,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999998971
73ce0f30b3de6fc46137e1732137695e,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999989863
7dca7af5849f88ad4c6a7b28816dcb9a,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999999546
ef8117495584b56d93548abadbd6cd95,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999999052
d7bd96a9eac19c340eb5b474627a71be,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999999441
39d16bf5914bdb10e3e5a757a1218128,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales, Prevotellaceae,Alloprevotella,1
f285706d7b44425572a63b08341f920b,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Family XI,Gemella,0.999991436
731b960f23d3504535554eccba9f97f2,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.99999883
85a6d642470b605d7446bda4b5dea812,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales, Pasteurellaceae,Haemophilus,0.722713731
6c3ef2d4a3168003d6ab92f0a78e52db,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales, Pasteurellaceae,Haemophilus,0.978805281
5a3aea466a183c2d38eb8b176d4bd0a9,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Carnobacteriaceae,Granulicatella,0.873726122
28f13fc574332ed14594035be1f60b98,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999999237
58b00b511641d586ae870763172bd650,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales, Moraxellaceae,Moraxella,0.830999315
9e9b57cb089c3a4a70c25eacd0e8ad39,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999998838
60cc7d8592d0be3c2826c6267eae2984,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Neisseriaceae,Neisseria,0.993328939
1f2caf42bbd4905672ded7cddaeca40c,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.999999794
e26fbebba4cc952ff2208d98a43df8e5,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Neisseriaceae,Neisseria,0.999730363
d39ee45607955971f9eaad76d0059f67,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales, Enterobacteriaceae,NA,0.999813017
cc215a476252ea0ccd4bcf3bd45faf46,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales, Pasteurellaceae,NA,1
c3e1fc1c37e41eddf2684a0666c93167,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,NA,0.999998534
c7f5c0285b89fcff5c9778bc384d62b8,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Family XI,Gemella,0.999992343
c4ded8599b47108d5e34a11cb2f103dc,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales, Enterobacteriaceae,NA,0.999813679
3c829333f45c9986b34503bc47fb0287,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales, Moraxellaceae,Moraxella,0.828076895
a89bdeef9e2e518ad28c6899075afe38,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.99984474
ada0d7f0c02644bdd4b2daa272a6b0c1,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Chitinophagales, Chitinophagaceae,Hydrotalea,0.999983278
512fb2bfcb9f08fd7f1de3864b167c89,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales, Prevotellaceae,Alloprevotella,1
23ff1ceda1352ef7d1582c230a0a9494,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales, Moraxellaceae,Moraxella,0.766611356
5c85119666bb9fc827c3315134cf59f8,D_0__Bacteria,D_1__Cyanobacteria,D_2__Oxyphotobacteria,D_3__Chloroplast,NA,NA,1
b3b3eefd165e929f784f912165c76013,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Carnobacteriaceae,Granulicatella,0.876685479
81d77fcc068b215e9a04729053416a8c,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Streptococcaceae,Streptococcus,0.999999772
f12718dbb5068de7bba6e44db549a1f5,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999990788
09ae43ef279a9e934fc1cec69b91ef02,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales, Moraxellaceae,Moraxella,0.822910039
98ec867428fa2d84f8abd2eafcc97651,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales, Enterobacteriaceae,NA,0.99982658
b9cd672a2b71e2ac6b686dc3de3972bb,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999988283
dd8a09521c78c44b26ce59188b1c1341,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999989031
51dfc8e30f17859a5f8d011d1718e6dc,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Neisseriaceae,Neisseria,0.999758227
9348e6e1aa675e632fd5bcaf53208399,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales, Pasteurellaceae,Haemophilus,0.976977621
50871ef57b5bd745fc903b8221f46eee,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Enterobacteriales, Enterobacteriaceae,NA,0.999798957
5bfa6cc0f61bc374074856a27cfe51d6,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Lactobacillales, Carnobacteriaceae,Granulicatella,0.942835365
078ca2e2199edabd0c9a69d1285ec237,D_0__Bacteria,D_1__Firmicutes,D_2__Negativicutes,D_3__Selenomonadales, Veillonellaceae,Veillonella,0.999999958
3d95d9af453da2420df18136607e0274,D_0__Bacteria,D_1__Bacteroidetes,D_2__Bacteroidia,D_3__Bacteroidales, Prevotellaceae,Prevotella 7,0.967067397
b9f6bb04c1f2bf5a64cd07e124bbc6cf,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999992604
4e797f5dc3a0722617983e7a428ead0a,D_0__Bacteria,D_1__Actinobacteria,D_2__Actinobacteria,D_3__Corynebacteriales, Corynebacteriaceae,Corynebacterium 1,0.86744639
b10448cd4124bdfd706450a4189961ef,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Betaproteobacteriales, Burkholderiaceae,Lautropia,0.999983641
875b7e2636dfa43de39ac0b55525378b,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999989707
39e4e482fac866fb40dac0bb65fff8c1,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales, Caulobacteraceae,uncultured,0.715722797
a12e2fa6917f40e375725c9eb63bd598,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pasteurellales, Pasteurellaceae,Haemophilus,0.705164856
e8fb27cdade4f21030ae2ec2c7c5c65a,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.99998936
5abbeb2b46fb4d461812e6667166aeb6,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Rhizobiales, Xanthobacteraceae,Bradyrhizobium,0.878053941
09200481c23b5473a5263797322a8ded,D_0__Bacteria,D_1__Proteobacteria,D_2__Alphaproteobacteria,D_3__Caulobacterales, Caulobacteraceae,Brevundimonas,0.999993337
d4e9b5916b230761f8f166d52791f319,D_0__Bacteria,D_1__Firmicutes,D_2__Bacilli,D_3__Bacillales, Staphylococcaceae,Staphylococcus,0.999988648
e362ea63ea3ee4c9954475abd6c21df0,D_0__Bacteria,D_1__Proteobacteria,D_2__Gammaproteobacteria,D_3__Pseudomonadales, Moraxellaceae,Moraxella,0.822042418
