OTUID,S1,S6,S8,S14,S15,S16,S20,S21,S23,S24,S26,S28
461e88572c8531337fca53eec668f6af,0,420,1141,681,205,682,296,221,186,,,
4097a388df74933fcfcfccf035b999dc,340,266,1572,723,203,326,203,104,599,,,
b41203c39cb61b9cad701eae576c7a1f,0,291,1683,1236,191,325,205,145,103,,,
b5b0a1eaf94f7c48cca227b748b1036d,82,382,0,0,0,245,0,0,0,,,
9992356b67d588dcfae3705dff08cab0,0,275,1126,540,184,345,103,0,0,,,
63dc415afa46898d8f95e86cacdc2959,187,236,2140,673,121,261,0,131,93,,,
0785e6aa088438bcb540dff46140d8dc,0,237,1534,658,157,255,0,96,109,,,
7959d6c6e725d05ab35dc33940d086e6,190,208,800,402,210,250,125,0,104,,,
4785ca0d6be9ce6b756299fdb9cbd446,0,161,455,313,144,315,132,0,0,,,
094f65a2e1dc6dc372adb7d92578960a,120,263,0,119,0,0,57,73,75,,,
3bbe760934382858060797fe375bfae9,112,141,759,435,201,212,106,0,110,,,
d1bf5cbb64f8143d138fceda9490ca0b,0,147,1116,502,196,140,83,0,53,,,
5fefd58eff69972a90d5e8028ba79fa1,101,257,308,76,0,0,0,0,0,,,
298ecc6af776bb7edff402ad29dcba9f,58,184,814,423,146,189,85,0,158,,,
061f96f0edf66dc86ed5fdc108beb5bd,63,161,0,199,0,0,0,0,0,,,
1a51394e215894d87a1cd321fc8556a1,78,219,0,0,0,0,0,0,0,,,
122abc1a0801399ae12837ae3f7ad8e4,133,149,0,0,0,0,0,0,0,,,
9bd57ec9560f1d1e419889a2c6ed0597,55,106,0,0,268,0,0,0,0,,,
9ed12ad9eb23953f49fa4112d8487ba1,81,162,0,199,0,0,0,0,0,,,
2990a0b19ee737c3819b09eab3854f41,147,183,0,77,0,0,0,0,0,,,
9bf4bfd490198dfcaf6f33c9ac7bd23d,151,137,0,198,0,0,0,0,0,,,
e3df63291734eff5d4e84915c9433425,186,2177,225,156,109,160,0,600,0,,,
b790cecad3d91a6a103b4287cd42e02e,0,251,0,0,0,0,0,0,231,,,
11726ed62c9b4eb40ca0c8e9c38a90d6,424,0,182,117,0,0,0,0,0,,,
b8bfe583dafe3e4d9fece27d5563a8af,0,263,0,0,0,88,20,0,0,,,
3824b3f159f036f4358a344e9c0f382f,247,1263,96,153,102,102,55,829,196,,,
21c57ad5c5ec7c24404d687accc2c620,189,139,0,0,0,0,0,24,0,,,
73ce0f30b3de6fc46137e1732137695e,214,1264,109,128,91,103,278,621,0,,,
6c3ef2d4a3168003d6ab92f0a78e52db,0,0,0,154,48,0,0,0,0,,,
1f2caf42bbd4905672ded7cddaeca40c,213,140,0,0,0,102,0,0,0,,,
e26fbebba4cc952ff2208d98a43df8e5,0,175,0,0,0,0,11,0,0,,,
d39ee45607955971f9eaad76d0059f67,233,246,215,0,0,0,0,0,0,,,
c4ded8599b47108d5e34a11cb2f103dc,140,216,0,0,0,96,0,0,0,,,
a89bdeef9e2e518ad28c6899075afe38,243,115,0,0,0,0,0,0,0,,,
