OTUID,S6,S10,S11,S15,S22,S23,S25,S26,S28
461e88572c8531337fca53eec668f6af,160,0,0,1378,242,1425,1866,432,521
4097a388df74933fcfcfccf035b999dc,151,0,183,1347,165,1081,1127,215,210
b41203c39cb61b9cad701eae576c7a1f,136,323,0,1776,146,941,1017,217,174
b5b0a1eaf94f7c48cca227b748b1036d,526,0,142,244,0,467,221,0,0
9992356b67d588dcfae3705dff08cab0,90,147,0,1435,109,394,773,120,188
63dc415afa46898d8f95e86cacdc2959,172,0,0,1460,0,383,458,155,196
0785e6aa088438bcb540dff46140d8dc,182,0,0,1436,190,422,548,176,132
7959d6c6e725d05ab35dc33940d086e6,80,0,0,792,147,578,939,152,166
4785ca0d6be9ce6b756299fdb9cbd446,66,31,0,652,138,676,1118,166,255
094f65a2e1dc6dc372adb7d92578960a,515,0,162,224,318,0,216,0,0
3bbe760934382858060797fe375bfae9,167,0,0,750,177,451,788,0,146
d1bf5cbb64f8143d138fceda9490ca0b,52,0,0,832,90,333,608,0,110
5fefd58eff69972a90d5e8028ba79fa1,455,327,537,210,0,0,152,0,0
298ecc6af776bb7edff402ad29dcba9f,0,0,0,703,0,311,612,0,121
061f96f0edf66dc86ed5fdc108beb5bd,299,0,109,129,121,0,80,0,0
1a51394e215894d87a1cd321fc8556a1,295,0,87,183,79,0,0,0,0
0c0223d88228e470fd1520acdb55adad,196,0,113,97,0,0,97,0,176
122abc1a0801399ae12837ae3f7ad8e4,210,0,205,116,0,0,184,0,0
9bd57ec9560f1d1e419889a2c6ed0597,192,0,122,136,0,0,0,0,0
9ed12ad9eb23953f49fa4112d8487ba1,347,0,96,258,0,0,0,71,0
2990a0b19ee737c3819b09eab3854f41,352,0,91,213,0,0,0,0,0
85d3fce12aaa2b050781ed410765568a,85,0,122,0,0,0,0,0,224
9bf4bfd490198dfcaf6f33c9ac7bd23d,158,0,148,97,0,0,0,0,0
e3df63291734eff5d4e84915c9433425,293,0,299,0,0,310,0,318,0
b790cecad3d91a6a103b4287cd42e02e,0,0,0,0,0,54,0,0,162
11726ed62c9b4eb40ca0c8e9c38a90d6,0,0,0,0,0,0,83,0,176
b8bfe583dafe3e4d9fece27d5563a8af,244,0,0,0,0,78,0,0,52
3e212ec59d2a26034a9461b3be2dfef9,229,0,0,0,0,0,0,0,0
3824b3f159f036f4358a344e9c0f382f,294,519,0,236,256,0,0,79,0
d374682147173515630598e0e483924e,0,0,0,236,0,0,0,0,130
0bcb53855af97159c395aeb88833dcba,0,0,0,0,0,0,0,0,138
21c57ad5c5ec7c24404d687accc2c620,186,0,0,545,0,124,0,0,74
8f49c09144667b6ffe7b00ef3c32b3aa,158,185,0,103,6,0,0,0,0
9a58a85ddf3248935651994771815066,0,0,0,0,0,0,0,0,178
73ce0f30b3de6fc46137e1732137695e,311,0,0,118,0,0,233,0,0
7dca7af5849f88ad4c6a7b28816dcb9a,0,0,0,0,0,0,0,0,158
ef8117495584b56d93548abadbd6cd95,0,0,0,0,0,0,0,0,124
d7bd96a9eac19c340eb5b474627a71be,0,0,0,0,0,0,0,0,152
39d16bf5914bdb10e3e5a757a1218128,0,0,0,0,0,0,149,0,0
f285706d7b44425572a63b08341f920b,95,0,238,93,0,0,0,0,0
731b960f23d3504535554eccba9f97f2,0,0,0,0,0,0,0,0,83
85a6d642470b605d7446bda4b5dea812,267,0,280,0,0,0,194,0,0
6c3ef2d4a3168003d6ab92f0a78e52db,252,0,0,0,0,67,0,0,0
28f13fc574332ed14594035be1f60b98,0,0,0,0,0,0,0,0,87
58b00b511641d586ae870763172bd650,0,0,250,0,0,60,0,0,0
9e9b57cb089c3a4a70c25eacd0e8ad39,0,0,0,0,0,0,0,0,64
60cc7d8592d0be3c2826c6267eae2984,193,0,185,0,0,0,0,0,0
1f2caf42bbd4905672ded7cddaeca40c,171,0,222,616,104,267,263,0,0
e26fbebba4cc952ff2208d98a43df8e5,293,0,0,108,0,0,0,0,0
d39ee45607955971f9eaad76d0059f67,0,0,0,0,0,0,0,214,0
cc215a476252ea0ccd4bcf3bd45faf46,251,0,0,0,0,0,0,0,0
c3e1fc1c37e41eddf2684a0666c93167,0,0,0,0,0,0,0,0,89
c7f5c0285b89fcff5c9778bc384d62b8,108,0,0,0,0,75,0,0,0
c4ded8599b47108d5e34a11cb2f103dc,0,0,0,168,0,0,0,0,0
3c829333f45c9986b34503bc47fb0287,0,0,0,0,0,0,0,0,27
a89bdeef9e2e518ad28c6899075afe38,241,0,0,0,0,0,0,0,0
ada0d7f0c02644bdd4b2daa272a6b0c1,0,0,0,0,0,0,0,0,318
512fb2bfcb9f08fd7f1de3864b167c89,274,0,0,0,0,0,0,0,0
23ff1ceda1352ef7d1582c230a0a9494,0,0,126,0,0,0,0,0,0
5c85119666bb9fc827c3315134cf59f8,0,379,243,0,0,0,0,111,0
b3b3eefd165e929f784f912165c76013,0,0,0,0,0,0,188,0,0
81d77fcc068b215e9a04729053416a8c,118,0,0,566,0,230,0,0,0
f12718dbb5068de7bba6e44db549a1f5,280,0,0,87,0,0,0,0,232
98ec867428fa2d84f8abd2eafcc97651,384,0,0,152,0,0,0,0,0
b9cd672a2b71e2ac6b686dc3de3972bb,187,0,0,132,0,0,0,133,0
dd8a09521c78c44b26ce59188b1c1341,90,0,0,0,0,0,0,0,0
51dfc8e30f17859a5f8d011d1718e6dc,267,0,202,0,39,0,0,32,37
50871ef57b5bd745fc903b8221f46eee,0,0,97,130,0,0,0,0,0
